pdconfig_url,pdparams_url
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/solov2/solov2_r50_fpn_1x.yml,https://paddlemodels.bj.bcebos.com/object_detection/solov2_r50_fpn_1x.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/yolov3/yolov3_mobilenet_v3_large_270e_voc.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v3_large_270e_voc.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_x101_vd_64x4d_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_x101_vd_64x4d_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/develop/static/configs/ppyolo/ppyolo_mobilenet_v3_small.yml,https://paddlemodels.bj.bcebos.com/object_detection/ppyolo_mobilenet_v3_small_prune75_distillby_mobilenet_v3_large.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/faster_rcnn_r34_fpn_1x.yml,https://paddlemodels.bj.bcebos.com/object_detection/faster_rcnn_r34_fpn_1x.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/efficientdet_d0.yml,https://paddlemodels.bj.bcebos.com/object_detection/efficientdet_d0.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/ssd/ssdlite_mobilenet_v3_small.yml,https://paddlemodels.bj.bcebos.com/object_detection/mobile_models/ssdlite_mobilenet_v3_small.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ppyolo/ppyolo_r18vd_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_r18vd_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_r101_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r101_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/fcos/fcos_r50_fpn_multiscale_2x_coco.yml,https://paddledet.bj.bcebos.com/models/fcos_r50_fpn_multiscale_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/blob/release/2.1/configs/res2net/mask_rcnn_res2net50_vd_26w_4s_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_res2net50_vd_26w_4s_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/pedestrian/pedestrian_yolov3_darknet.yml,https://paddledet.bj.bcebos.com/models/pedestrian_yolov3_darknet.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_r34_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_r34_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/yolov3/yolov3_mobilenet_v1_ssld_270e_coco.yml,https://paddledet.bj.bcebos.com/models/yolov3_mobilenet_v1_ssld_270e_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/faster_rcnn/faster_rcnn_x101_vd_64x4d_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/faster_rcnn_x101_vd_64x4d_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ppyolo/ppyolov2_r101vd_dcn_365e_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolov2_r101vd_dcn_365e_coco.pdparams
./higherhrnet/higherhrnet_hrnet_w32_512_swahr.yml,https://paddledet.bj.bcebos.com/models/keypoint/higherhrnet_hrnet_w32_512_swahr.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/ppyolo/ppyolo_r50vd_dcn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/ppyolo_r50vd_dcn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r50_1x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_r50_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mask_rcnn/mask_rcnn_r50_fpn_2x_coco.yml,https://paddledet.bj.bcebos.com/models/mask_rcnn_r50_fpn_2x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/master/configs/ssd/ssdlite_mobilenet_v3_large.yml,https://paddlemodels.bj.bcebos.com/object_detection/mobile_models/ssdlite_mobilenet_v3_large.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/develop/static/configs/ppyolo/ppyolov2_r101vd_dcn.yml,https://paddlemodels.bj.bcebos.com/object_detection/ppyolov2_r101vd_dcn.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/yolov3/yolov3_mobilenet_v1_270e_voc.yml,https://paddledet.bj.bcebos.com/models/slim/yolov3_mobilenet_v1_voc_prune_l1_norm.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/dcn/cascade_rcnn_dcn_r50_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/cascade_rcnn_dcn_r50_fpn_1x_coco.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mot/jde/jde_darknet53_30e_576x320.yml,https://paddledet.bj.bcebos.com/models/mot/jde_darknet53_30e_576x320.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/mot/deepsort/deepsort_pcb_pyramid_r101.yml,https://paddledet.bj.bcebos.com/models/mot/jde_darknet53_30e_1088x608.pdparams
https://github.com/PaddlePaddle/PaddleDetection/tree/release/2.1/configs/solov2/solov2_r50_fpn_1x_coco.yml,https://paddledet.bj.bcebos.com/models/solov2_r50_fpn_1x_coco.pdparams
